algorithm,inference,start_position,metric,mean,std,n_runs
dp,ddim,top,cam1,0.9441,0.0407,27
dp,ddim,bottom,cam1,0.7283,0.2251,26
dp,ddim,left,cam1,0.7465,0.1003,25
dp,ddim,right,cam1,0.334,0.0495,25
dp,ddim,top_right,cam1,0.6131,0.2583,28
dp,ddim,bottom_right,cam1,0.7073,0.1281,26
dp,ddim,turned_left,cam1,0.7054,0.0405,24
dp,ddim,turned_right,cam1,0.908,0.0491,26
dp,ddim,upside_down,cam1,0.4448,0.0638,28
dp,ddpm,top,cam1,0.859,0.2073,8
dp,ddpm,bottom,cam1,0.9036,0.0418,8
dp,ddpm,left,cam1,0.8005,0.0777,8
dp,ddpm,right,cam1,0.3297,0.0347,8
dp,ddpm,top_right,cam1,0.7728,0.1,8
dp,ddpm,bottom_right,cam1,0.7274,0.0251,8
dp,ddpm,turned_left,cam1,0.7106,0.0163,8
dp,ddpm,turned_right,cam1,0.9083,0.0368,8
dp,ddpm,upside_down,cam1,0.4868,0.0043,8
q3c,argmax,top,cam1,0.7909,0.2729,4
q3c,argmax,bottom,cam1,0.5334,0.1432,7
q3c,argmax,left,cam1,0.4794,0.054,2
q3c,argmax,right,cam1,0.5262,0.0225,2
q3c,argmax,top_right,cam1,0.464,0.0636,2
q3c,argmax,bottom_right,cam1,0.4839,0.0341,2
q3c,argmax,turned_left,cam1,0.7449,0.0096,3
q3c,argmax,turned_right,cam1,0.8939,0.0542,3
q3c,argmax,upside_down,cam1,0.4616,0.0258,4
q3c,argmax_fallback,top,cam1,0.9656,0.0123,10
q3c,argmax_fallback,bottom,cam1,0.9396,0.0852,9
q3c,argmax_fallback,left,cam1,0.9367,0.0392,8
q3c,argmax_fallback,right,cam1,0.5205,0.0138,10
q3c,argmax_fallback,top_right,cam1,0.831,0.2396,10
q3c,argmax_fallback,bottom_right,cam1,0.9085,0.0822,11
q3c,argmax_fallback,turned_left,cam1,0.7367,0.0989,9
q3c,argmax_fallback,turned_right,cam1,0.9059,0.0737,9
q3c,argmax_fallback,upside_down,cam1,0.3199,0.1375,8
q3c,dfo,top,cam1,0.7862,0.2784,15
q3c,dfo,bottom,cam1,0.8488,0.2562,16
q3c,dfo,left,cam1,0.959,0.0155,12
q3c,dfo,right,cam1,0.5209,0.0221,16
q3c,dfo,top_right,cam1,0.9575,0.019,5
q3c,dfo,bottom_right,cam1,0.937,0.0322,7
q3c,dfo,turned_left,cam1,0.6761,0.0568,11
q3c,dfo,turned_right,cam1,0.8651,0.1125,13
q3c,dfo,upside_down,cam1,0.4322,0.1064,11
q3c,langevin,top,cam1,0.7499,0.2577,15
q3c,langevin,bottom,cam1,0.7132,0.3342,15
q3c,langevin,right,cam1,0.5321,0.0,1
q3c,langevin,turned_left,cam1,0.7021,0.0332,11
q3c,langevin,turned_right,cam1,0.7333,0.4188,13
q3c,langevin,upside_down,cam1,0.4503,0.0865,12
ibc,dfo,top,cam1,0.8582,0.194,31
ibc,dfo,bottom,cam1,0.6163,0.328,24
ibc,dfo,left,cam1,0.8026,0.2805,26
ibc,dfo,right,cam1,0.3873,0.2606,22
ibc,dfo,top_right,cam1,0.8356,0.2541,17
ibc,dfo,bottom_right,cam1,0.6205,0.2668,13
ibc,dfo,turned_left,cam1,0.442,0.1781,20
ibc,dfo,turned_right,cam1,0.6903,0.2691,24
ibc,dfo,upside_down,cam1,0.1325,0.0911,12
bc,deterministic,top,cam1,0.9233,0.0348,9
bc,deterministic,bottom,cam1,0.7764,0.1101,11
bc,deterministic,left,cam1,0.7667,0.075,8
bc,deterministic,right,cam1,0.5399,0.0165,8
bc,deterministic,top_right,cam1,0.4666,0.1174,9
bc,deterministic,bottom_right,cam1,0.6246,0.26,10
bc,deterministic,turned_left,cam1,0.7021,0.0167,8
bc,deterministic,turned_right,cam1,0.7435,0.044,8
bc,deterministic,upside_down,cam1,0.4507,0.0227,9
